PINCODE,CITY,STATE,Warehouse Location to be mapped,Delivery TAT,Distance From WH.
560048,Bangalore,Karnataka,BLR Warehouse,With-in 48 Hrs,
560049,Bangalore,Karnataka,BLR Warehouse,With-in 48 Hrs,
560067,Bangalore,Karnataka,BLR Warehouse,With-in 48 Hrs,
561229,Bangalore,Karnataka,BLR Warehouse,With-in 48 Hrs,
562152,Bangalore,Karnataka,BLR Warehouse,With-in 48 Hrs,
562145,Bangalore,Karnataka,BLR Warehouse,With-in 48 Hrs,
560067,Bangalore,Karnataka,BLR Warehouse,With-in 48 Hrs,
500001,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500002,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500003,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500004,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500005,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500006,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500007,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500008,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500012,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500013,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500015,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500016,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500017,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500018,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500020,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500022,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500023,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500024,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500025,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500026,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500027,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500028,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500029,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500030,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500031,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500033,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500034,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500035,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500036,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500038,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500039,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500040,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500041,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500044,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500045,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500048,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500051,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500052,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500053,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500057,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500058,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500059,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500060,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500061,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500062,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500063,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500064,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500065,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500066,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500067,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500068,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500069,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500070,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500071,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500073,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500074,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500076,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500077,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500079,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500080,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500081,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500082,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500085,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
500095,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
501101,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
501201,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
501301,HYDERABAD,TELANGANA,Hyderbad warehouse,With-in 48 Hrs,
100000,NEW DELHI,Delhi,Delhi Warehouse,With-in 48 Hrs,
110001,NEW DELHI,Delhi,Delhi Warehouse,With-in 48 Hrs,
110002,NEW DELHI,Delhi,Delhi Warehouse,With-in 48 Hrs,
110003,NEW DELHI,Delhi,Delhi Warehouse,With-in 48 Hrs,
110004,NEW DELHI,Delhi,Delhi Warehouse,With-in 48 Hrs,
110005,NEW DELHI,Delhi,Delhi Warehouse,With-in 48 Hrs,
110006,NEW DELHI,Delhi,Delhi Warehouse,With-in 48 Hrs,
110007,NEW DELHI,Delhi,Delhi Warehouse,With-in 48 Hrs,
110008,NEW DELHI,Delhi,Delhi Warehouse,With-in 48 Hrs,
110009,NEW DELHI,Delhi,Delhi Warehouse,With-in 48 Hrs,
110010,NEW DELHI,Delhi,Delhi Warehouse,With-in 48 Hrs,
110011,NEW DELHI,Delhi,Delhi Warehouse,With-in 48 Hrs,
110012,NEW DELHI,Delhi,Delhi Warehouse,With-in 48 Hrs,
110013,NEW DELHI,Delhi,Delhi Warehouse,With-in 48 Hrs,
110014,NEW DELHI,Delhi,Delhi Warehouse,With-in 48 Hrs,
110015,NEW DELHI,Delhi,Delhi Warehouse,With-in 48 Hrs,
